# Officials that fell through to the DiceBear fallback.
# id	name	level	title
1069	Victoria Defenthaler	local	School Board Member, District 3
1070	Marsha Powers	local	School Board Member, District 4
1072	Debbie Hawley	local	School Board Chair, District 1
1073	Donna Howerton	local	School Board Member, District 2
1074	Troy Ingersoll	local	School Board Member, District 3
1075	Jack Kelly	local	School Board Member, District 4
1076	Kathryn Hensley	local	School Board Member, District 5
1077	Donna Martin	local	School Board Chair, District 1
1078	Jamie Deonas	local	School Board Member, District 2
1079	Gail Cook	local	School Board Member, District 3
1080	Jonathan Wagner	local	School Board Member, District 4
1081	Shannon Hogue	local	School Board Member, District 5
1082	Janice Kerekes	local	School Board Chair, District 1
1083	Erin Skipper	local	School Board Member, District 2
1084	John MacKenzie	local	School Board Member, District 3
1085	Mary Bolla	local	School Board Member, District 4
1086	Ashley Gilhousen	local	School Board Member, District 5
1087	Linda Prescott	local	School Board Chair, District 1
