# id	name	level	title	reason
1097	Sally Moss	local	School Board Chair, District 1	no-trusted-result
1099	Eddy Thompson	local	School Board Member, District 3	dup:www.sumtercountyfl.gov
1105	Andy Tuck	local	School Board Member, District 4	no-trusted-result
1106	Joy Gerig	local	School Board Member, District 5	no-trusted-result
1107	Linda Sanborn	local	School Board Chair, District 1	no-trusted-result
1108	Carol Boston	local	School Board Member, District 2	no-trusted-result
1109	Diane Scott	local	School Board Member, District 3	no-trusted-result
1110	Jennifer Granse	local	School Board Member, District 4	no-trusted-result
1111	Scott Peden	local	School Board Member, District 5	no-trusted-result
1112	Lamar White	local	School Board Chair, District 1	no-trusted-result
1114	Linda Evanchyk	local	School Board Member, District 3	no-trusted-result
1115	Tim Bryant	local	School Board Member, District 4	no-trusted-result
